Nodes
'Fp1'
'AF3'
'F7'
'F3'
'FC5'
'T7'
'CP1'
'O1'
'O2'
'P8'
'FC6'
'F8'
'AF4'
'Fp2'
'FCz'
'FC1'
'C3'
'CP5'
'P7'
'P3'
'Pz'
'PO3'
'Oz'
'PO4'
'F4'
'Fz'
'Iz'
'P4'
'CP6'
'CP2'
'C4'
'T8'
'FC2'
'Cz'
